car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,source,make,model,car_availability,total_owners,broker_quote,original_price,car_rating,ad_created_on,fitness_certificate,emi_starts_from,booking_down_pymnt,reserved,warranty_avail
maruti s presso,2020,petrol,3176,402199,ghaziabad,16029,hatchback,,vxi,True,faridabad,haryana,True,hr51,inperson_sale,maruti,s presso,in_stock,1,419657,509409.0,great,2021-03-31T13:28:43.225,True,9342,60330,True,False
maruti alto 800,2018,petrol,8329,321299,ahmedabad,794,hatchback,manual,lxi,True,ahmedabad,gujarat,True,gj01,inperson_sale,maruti,alto 800,in_transit,1,317192,392781.0,great,2021-03-13T06:05:47.802,True,7463,48195,False,False
volkswagen polo,2012,petrol,50019,381699,chennai,565,hatchback,manual,trendline 1.2l petrol,True,chennai,tamil nadu,True,tn01,inperson_sale,volkswagen,polo,in_stock,2,317509,381799.0,good,2021-04-07T08:14:29.131,True,8866,57255,False,False
hyundai grand i10,2014,petrol,59731,352199,new delhi,514,hatchback,manual,magna 1.2 kappa vtvt,True,faridabad,haryana,True,hr51,inperson_sale,hyundai,grand i10,in_stock,1,340870,420962.0,great,2021-03-23T06:50:38.02,True,8181,52830,False,False
honda brio,2015,petrol,41175,345399,new delhi,1782,hatchback,manual,1.2 vx mt i vtec,True,delhi,delhi,True,dl9c,inperson_sale,honda,brio,in_stock,2,339528,346028.0,great,2021-03-06T11:40:13.763,True,8023,51810,False,False
renault duster,2013,diesel,28769,454599,noida,2393,suv,manual,85 ps rxl opt,False,noida,uttar pradesh,True,up16,inperson_sale,renault,duster,in_stock,1,433859,544319.0,great,2021-04-01T10:18:08.088,True,10559,68190,False,False
renault kwid,2017,petrol,17245,320699,pune,2720,hatchback,,rxl1.0 easy-r at,True,pune,maharashtra,True,mh12,inperson_sale,renault,kwid,in_stock,1,316707,,great,2021-03-31T10:56:06.749,True,7449,48105,True,False
maruti swift,2011,diesel,91145,380099,pune,997,hatchback,manual,vdi,True,pune,maharashtra,True,mh12,inperson_sale,maruti,swift,in_stock,1,383720,385220.0,great,2021-03-26T07:46:04.957,True,8829,57015,False,False
maruti wagon r 1.0,2011,petrol,6863,320899,bengaluru,9404,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka41,inperson_sale,maruti,wagon r 1.0,in_stock,1,324819,320999.0,great,2021-02-05T12:04:41.709,True,7454,48135,False,False
hyundai elite i20,2015,diesel,110531,420299,noida,1774,hatchback,manual,magna 1.4 crdi,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,hyundai,elite i20,in_stock,1,420000,527700.0,great,2020-12-29T10:28:55.414,True,9762,63045,False,False
tata nano,2014,petrol,9392,187599,pune,3525,hatchback,automatic,twist xta,True,pune,maharashtra,True,mh14,inperson_sale,tata,nano,in_stock,1,175175,,great,2021-03-20T12:32:27.102,True,4357,28140,False,False
hyundai i10,2015,petrol,15440,337199,kolkata,2882,hatchback,manual,sportz 1.1 irde2,True,kolkata,west bengal,True,wb02,inperson_sale,hyundai,i10,,1,286546,,good,2021-04-22T12:52:45.124,True,7832,50580,False,False
hyundai eon,2016,petrol,54854,268299,gurgaon,237,hatchback,manual,era plus,True,delhi,delhi,True,dl4c,inperson_sale,hyundai,eon,in_stock,1,219048,,good,2021-04-04T16:48:01.465,True,6232,40245,False,False
toyota innova,2013,diesel,136399,614199,gurgaon,1123,suv,manual,2.5 gx 7 str bs iv,True,gurgaon,haryana,True,hr26,inperson_sale,toyota,innova,in_stock,1,596765,,great,2021-03-20T12:36:20.1,True,14266,92130,False,False
tata zest,2016,diesel,61903,397999,chennai,1310,sedan,,xm quadrajet 75ps,True,chennai,tamil nadu,True,tn11,inperson_sale,tata,zest,in_stock,1,375000,,great,2021-04-05T09:16:45.83,True,9245,59700,True,False
hyundai i20,2009,petrol,60745,337899,bengaluru,96,hatchback,manual,magna 1.2 vtvt,True,bangalore central,karnataka,True,ka01,inperson_sale,hyundai,i20,in_stock,2,324783,,great,2021-03-31T10:48:49.424,True,7849,50685,False,False
maruti swift dzire,2014,diesel,88835,354099,new delhi,1485,sedan,manual,vdi bs iv,True,delhi,delhi,True,dl1c,inperson_sale,maruti,swift dzire,in_stock,1,362800,447072.0,great,2021-01-18T17:51:17.109,True,8225,53115,False,False
maruti celerio,2017,petrol,88966,387099,pune,1187,hatchback,automatic,vxi amt,True,kolhapur,maharashtra,True,mh09,inperson_sale,maruti,celerio,in_stock,1,391110,392610.0,great,2021-03-03T13:31:35.924,True,8991,58065,False,False
hyundai i10,2011,petrol,73867,291599,hyderabad,997,hatchback,manual,magna 1.2 kappa2,True,hyderabad,telangana,True,ap24,inperson_sale,hyundai,i10,in_stock,1,275744,343467.0,great,2021-02-23T08:57:00.609,True,6773,43740,False,False
hyundai i10,2013,petrol,38726,364999,bengaluru,766,hatchback,manual,magna 1.2 kappa2,True,bengaluru,karnataka,True,ka03,inperson_sale,hyundai,i10,in_stock,1,345860,,great,2021-04-05T06:14:35.987,True,8478,54750,False,False
mahindra xuv500,2012,diesel,63249,750000,gurgaon,152,suv,manual,w8 fwd,True,gurgaon,haryana,False,hr26,online,mahindra,xuv500,,1,417000,,overpriced,2019-09-06T10:19:11.901,True,17421,112500,False,False
hyundai santro xing,2007,petrol,52521,176699,hyderabad,984,hatchback,manual,xo erlx euro iii,True,hyderabad,telangana,True,ap28,inperson_sale,hyundai,santro xing,in_stock,2,149304,,good,2021-04-08T06:08:08.56,True,4104,26505,False,False
maruti baleno,2020,petrol,9501,788199,chennai,1206,hatchback,manual,alpha 1.2 k12,True,tiruvannamalai,tamil nadu,True,tn25,inperson_sale,maruti,baleno,in_stock,1,790000,925340.0,great,2021-03-25T10:55:18.061,True,18308,118230,False,False
hyundai santro xing,2010,petrol,86995,221399,hyderabad,368,hatchback,manual,gl,True,hyderabad,telangana,True,ap28,inperson_sale,hyundai,santro xing,in_stock,2,176862,224610.0,good,2021-03-24T13:21:27.471,True,5143,33210,False,False
hyundai new elantra,2014,petrol,40273,643199,pune,609,luxury sedan,automatic,sx 1.8 at,True,pune,maharashtra,True,mh12,inperson_sale,hyundai,new elantra,,1,640000,,great,2021-05-01T11:10:18.389,True,14940,96480,True,False
maruti s cross,2017,diesel,13630,926299,pune,1114,suv,manual,zeta shvs,True,pune,maharashtra,True,mh12,inperson_sale,maruti,s cross,in_stock,1,972994,974494.0,great,2021-03-27T14:19:05.82,True,21516,138945,False,False
maruti swift dzire,2013,petrol,53876,474399,chennai,386,sedan,manual,vxi 1.2 bs iv,True,sivagangai,tamil nadu,True,tn59,inperson_sale,maruti,swift dzire,in_stock,2,443347,474499.0,great,2021-04-11T09:54:56.666,True,11019,71160,False,False
maruti alto,2010,petrol,76606,254899,bengaluru,313,hatchback,manual,lxi,True,bengaluru,karnataka,True,ka03,inperson_sale,maruti,alto,in_stock,1,205000,,good,2021-03-20T10:22:28.001,True,5921,38235,False,False
skoda laura,2012,diesel,104404,540099,bengaluru,2178,luxury sedan,automatic,ambiente 2.0 tdi cr at,True,bengaluru,karnataka,True,ka01,inperson_sale,skoda,laura,in_stock,2,550345,540199.0,great,2021-02-06T05:27:12.067,True,12545,81015,False,False
